"City","Country","Population"
"Sanaa","Yemen",2008000
"Marib","Yemen",16794
"Hajjah","Yemen",208287
"Ibb","Yemen",234837
"Al Hudaydah","Yemen",780000
"Lahij","Yemen",66288
"Taizz","Yemen",751000
"Sadah","Yemen",105542
"Dhamar","Yemen",191259
"Saywun","Yemen",68747
"Al Bayda","Yemen",37821
"Rida","Yemen",45233
"'Ataq","Yemen",37315
"Al Ghaydah","Yemen",27404
"Sayhut","Yemen",189
"Al Mukalla","Yemen",258132
"Zabid","Yemen",152504
"Aden","Yemen",1000000
"Hadiboh","Yemen",11396
"Ash Shihr","Yemen",54274
"Dzaoudzi","Mayotte",32057
"Pretoria","South Africa",1338000
"Lebowakgomo","South Africa",33308
"Potchefstroom","South Africa",123669
"Graaff Reinet","South Africa",62896
"Rustenburg","South Africa",165976
"Brandfort","South Africa",12091
"Vryheid","South Africa",150012
"Vereeniging","South Africa",1074000
"Brits","South Africa",122497
"Bethlehem","South Africa",83654
"Ubomba","South Africa",564
"Polokwane","South Africa",220045
"Springbok","South Africa",10438
"Thohoyandou","South Africa",269707
"Pietermaritzburg","South Africa",750845
"Poffader","South Africa",4220
"Carnarvon","South Africa",5785
"Kroonstad","South Africa",103992
"Alexander Bay","South Africa",1500
"Bloemhof","South Africa",17122
"Hermanus","South Africa",25153
"Bethal","South Africa",101919
"Upington","South Africa",71373
"Tzaneen","South Africa",67245
"Vanhynsdorp","South Africa",3331
"Musina","South Africa",20191
"Kimberley","South Africa",165264
"Durban","South Africa",2729000
"Klerksdorp","South Africa",178921
"Welkom","South Africa",431944
"De Aar","South Africa",32318
"Prieska","South Africa",11236
"Saldanha","South Africa",68284
"Middelburg","South Africa",18164
"Port St. Johns","South Africa",5939
"Volksrust","South Africa",43378
"Ulundi","South Africa",20753
"Beaufort West","South Africa",44737
"Komatipoort","South Africa",20508
"Standerton","South Africa",74021
"Johannesburg","South Africa",3435000
"Kuruman","South Africa",10006
"Paarl","South Africa",187865
"Worcester","South Africa",127597
"Colesberg","South Africa",12423
"Umtata","South Africa",137772
"Aliwal North","South Africa",44436
"Middelburg","South Africa",154706
"Springs","South Africa",236083
"Benoni","South Africa",2986000
"Port Shepstone","South Africa",52793
"Oudtshoorn","South Africa",76708
"Port Elizabeth","South Africa",1021000
"Port Alfred","South Africa",17959
"East London","South Africa",338627
"Mossel Bay","South Africa",16743
"Vryburg","South Africa",49588
"Uitenhage","South Africa",228912
"Bhisho","South Africa",160997
"Knysna","South Africa",63106
"Queenstown","South Africa",105309
"Cradock","South Africa",32898
"Bredasdorp","South Africa",14936
"Swellendam","South Africa",13674
"Ladysmith","South Africa",47375
"George","South Africa",174582
"Grahamstown","South Africa",91548
"Mmabatho","South Africa",104428
"Bloemfontein","South Africa",463064
"Cape Town","South Africa",3215000
"Zambezi","Zambia",7074
"Solwezi","Zambia",65000
"Lusaka","Zambia",1328000
"Kaoma","Zambia",14212
"Chipata","Zambia",85963
"Senanga","Zambia",10005
"Sesheke","Zambia",20149
"Chililabombwe","Zambia",82068
"Chingola","Zambia",182015
"Kasempa","Zambia",5622
"Kitwe","Zambia",404901
"Mufulira","Zambia",153624
"Nchelenge","Zambia",23693
"Mazabuka","Zambia",64006
"Lukulu","Zambia",3349
"Kafue","Zambia",47554
"Lundazi","Zambia",11635
"Mansa","Zambia",42277
"Mwinilunga","Zambia",13798
"Mumbwa","Zambia",19086
"Kalabo","Zambia",7731
"Nyimba","Zambia",1336
"Kapiri Mposhi","Zambia",37942
"Kabwe","Zambia",188979
"Ndola","Zambia",396339
"Kasama","Zambia",200000
"Mbala","Zambia",20570
"Kawambwa","Zambia",20589
"Luanshya","Zambia",151993
"Mongu","Zambia",52534
"Mpika","Zambia",28445
"Chinsali","Zambia",14015
"Livingstone","Zambia",165480
"Choma","Zambia",46746
"Plumtree","Zimbabwe",2148
"Kariba","Zimbabwe",25531
"Hwange","Zimbabwe",33989
"Chiredzi","Zimbabwe",28205
"Mazowe","Zimbabwe",9966
"Zvishavane","Zimbabwe",35896
"Shamva","Zimbabwe",10317
"Harare","Zimbabwe",1572000
"Kwekwe","Zimbabwe",99149
"Kadoma","Zimbabwe",79174
"Gwanda","Zimbabwe",14450
"Chinhoyi","Zimbabwe",61739
"Beitbridge","Zimbabwe",26459
"Mutare","Zimbabwe",249365
"Gweru","Zimbabwe",183358
"Karoi","Zimbabwe",25030
